	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
0	1.0	ltm	diff_vonmises	-0.0606576184045881	-3.4754255298979677	5.964520481522037	0.2695178265292346	0.0018763067613545	2.7131581686200814	-0.1760925550417086	-0.4314618401267237	0.255369285085015	55.650630003217486	near	V1
1	2.0	ltm	diff_vonmises	0.0925671838329968	5.303708955042345	5.392481685145095	0.6082057722591011	0.3416703519138934	1.765000563869492	0.1649355225750596	-0.2913291247737918	0.4562646473488514	53.70642275846788	near	V2
2	3.0	ltm	diff_vonmises	0.0509819118562751	2.921048380872536	3.38484843024092	0.798035178761829	0.6205645342432717	1.3030600645241284	0.2084139575276869	-0.1764594976529199	0.3848734551806069	63.77940709892548	near	V3
3	4.0	ltm	diff_vonmises	-0.078962000309613	-4.524189359651526	1.1769076506477405	130.41421982878106	1.1525239260928313	131.75864704457885	0.0924614715453273	-0.3436284688579114	0.4360899404032388	76.14850948215164	near	V4
4	5.0	ltm	diff_vonmises	-0.054563597876079	-3.126263873348311	2.296657426910888	0.9220207952256944	9.39357694285164e-15	1.6444971051320234	0.2550839330995602	-0.2565000124715533	0.5115839455711135	90.73219143323615	near	V3ab
5	6.0	ltm	diff_vonmises	0.2724402991904718	15.609679312895452	0.7650004853315139	112.11130948400292	0.7519737582224437	112.64131188883376	0.1227568654115813	-0.1693249231389586	0.29208178855054	99.51238707848016	near	IPS0
6	7.0	ltm	diff_vonmises	-0.0186116736816047	-1.0663703516306604	0.8400532641538941	122.5904635784639	0.8235811695035915	123.61425549033576	0.070002328358349	-0.2531570129222267	0.3231593412805758	90.88355924923223	near	LO1
0	1.0	ltm	diff_vonmises	0.0648878557424305	3.717800275694994	1.2344317787807086	0.7864404172036515	0.0605522194556561	2.9872926912509503	-0.2015047510212264	-0.4214259102760599	0.2199211592548335	109.0876543978326	far	V1
1	2.0	ltm	diff_vonmises	0.0671899471619514	3.84970039808682	1.2346158006990795	2.192707209501653	0.4260586916150745	3.2987502664218287	0.0766927787530863	-0.2733059349216626	0.349998713674749	93.22042865545048	far	V2
2	3.0	ltm	diff_vonmises	0.0664051187024688	3.804733039716716	1.0658125463308994	103.9135576087204	1.0463644398278638	104.53385476450153	0.1628499613976473	-0.195499743143408	0.3583497045410553	84.2120887484441	far	V3
3	4.0	ltm	diff_vonmises	-0.1934638027547615	-11.084659386399268	1.856768873701499	0.7005036782060889	1.0068715961852281e-16	2.160864750121388	0.0015506256078937	-0.3354860578304002	0.3370366834382939	100.39990020502606	far	V4
4	5.0	ltm	diff_vonmises	-0.0252786603146976	-1.4483605477770205	1.9392995342638892	1.0143474011404765	0.1973941248404721	1.6889976437932894	0.1892812905372229	-0.213430539029447	0.40271182956667	89.04689799542308	far	V3ab
5	6.0	ltm	diff_vonmises	-0.3006097914775237	-17.223672331969855	0.5284288443917923	126.63659857332703	0.5141890224836799	127.40290417208944	0.1469952662160274	-0.2679249939181911	0.4149202601342185	119.38245226483512	far	IPS0
6	7.0	ltm	diff_vonmises	0.1829393957228655	10.481655281593822	1.1024724514969524	148.21764833919272	1.0869824521948466	149.1367882277852	0.1009432327707102	-0.2434755891677689	0.3444188219384791	79.83502006532947	far	LO1
