	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm
0	1.0	ltm	diff_vonmises	0.00620874475374346	0.3557348704634919	0.905462860777468	112.44534620043869	0.8766973996877164	114.62824886540315	-0.07850510374264985	-0.4626874481390839	0.38418234439643406	82.2481373153573
1	1.0	perception	diff_vonmises	0.04295702748352006	2.461256375233183	10.735032263437375	0.6765204292238877	2.980640203358334e-15	2.8359904057959966	0.42185481243353007	-0.45136189122953274	0.8732167036630628	41.418078720268056
2	1.0	wm	diff_vonmises	0.10220495887216804	5.855912788683387	4.774235791612417	0.3695192177585421	4.2419168812176004e-21	2.6676304023458766	-0.11195952734618264	-0.424544272141037	0.3125847447948544	62.52120178177117
3	2.0	ltm	diff_vonmises	0.01483966175445197	0.8502499879318005	3.3500329949116403	0.6833895056552944	0.15878168138924936	1.841306189133397	0.13504998122187084	-0.2747817837880573	0.40983176500992813	69.54291111446486
4	2.0	perception	diff_vonmises	-0.03595261786007289	-2.0599332658288416	7.646939919662085	1.0946157151188847	0.07286708471974938	2.226650417811422	0.8058386269552944	-0.3566047424604859	1.1624433694157803	48.59014973514027
5	2.0	wm	diff_vonmises	0.03998871120370742	2.291184380139945	5.339211942479822	0.4335719222496759	0.07772035880547824	1.848090621515881	0.07186535327813659	-0.29297282038429695	0.36483817366243354	56.99120829962598
6	3.0	ltm	diff_vonmises	0.1622006522592224	9.293412808722545	2.490778060646614	0.8560529247075207	0.3204436595816593	1.5398787678873773	0.17426365691120166	-0.19899653094967185	0.3732601878608735	76.50699841751003
7	3.0	perception	diff_vonmises	0.03724581196578461	2.134027830177318	5.305562136359821	1.6836191820536792	0.10859906333457628	2.3429276267353543	1.0922475526583368	-0.3643133862513339	1.4565609389096708	58.111581606209455
8	3.0	wm	diff_vonmises	0.0035702110231983298	0.20455802360034753	3.0959224305535433	0.7716821681804552	0.30316913410377094	1.8035980469027642	0.1346065547266313	-0.2576908812791737	0.392297436005805	68.96327128720932
9	4.0	ltm	diff_vonmises	0.04359223231970259	2.497650931472741	0.7879350836714429	156.9448645409243	0.7751298146734606	158.33335852600712	-0.03123898913830203	-0.29688341059615553	0.2656444214578535	89.12525323600644
10	4.0	perception	diff_vonmises	-0.057477726398304174	-3.293231138630507	2.772053675474254	2.2435245476675454	0.13225709885878248	3.9281864890090743	0.6937351926445249	-0.5614288941076381	1.255164086752163	78.10244325474247
11	4.0	wm	diff_vonmises	0.018447717776235908	1.0569763702267818	0.9242420240567136	202.9135592120941	0.9099510695378936	204.90537780985085	-0.09476971065141981	-0.4175410593313913	0.3227713486799715	80.12250605378858
12	5.0	ltm	diff_vonmises	0.1319598928414683	7.560744924814738	1.808478134841488	1.1403769124129775	0.10152671720356614	2.188431871998966	0.16890034346516192	-0.2992516808628022	0.4681520243279641	95.27691865523579
13	5.0	perception	diff_vonmises	0.012205743345035835	0.6993375794904451	2.4435416920486137	2.0370560348611493	2.684808387771242e-18	2.876222022378203	0.7267250982430173	-0.4488292787613536	1.1755543770043708	87.9924725196081
14	5.0	wm	diff_vonmises	-0.008975504917390235	-0.5142585507653771	0.5587080129775291	216.3851528603955	0.5483322656907804	217.54764718738454	0.1253762225056292	-0.34069174208225306	0.46606796458788224	114.19071598541649
15	6.0	ltm	diff_vonmises	0.2999584040214419	17.186350579908602	0.5909820823911727	110.93808067687623	0.5768347444962354	111.82413035006991	0.06515272122888405	-0.23771448435195097	0.302867205580835	109.77703581960762
16	6.0	perception	diff_vonmises	-0.11818911003402006	-6.77173718935664	1.5700143850080535	1.7940589719918008	2.915087379905071e-17	2.6974290961984004	0.3695946993253146	-0.39473051256285546	0.76432521188817	108.2852616817216
17	6.0	wm	diff_vonmises	-0.05975427981368976	-3.4236680411681943	0.5770770667481003	171.92527247726676	0.5633640186239794	173.0800828535884	0.14613421150341566	-0.3464049960916853	0.49253920759510095	112.98569008868115
18	7.0	ltm	diff_vonmises	0.033941392337937616	1.9446985317614953	1.0776463536402605	123.38026494373973	1.0521158736625509	124.79685805063284	0.09412105989395769	-0.3542406972682155	0.4483617571621732	79.7446502422176
19	7.0	perception	diff_vonmises	0.029678689858688812	1.7004636703805864	2.17534970923072	2.1296001568205525	0.18603658153046318	3.4346226565405322	0.5028593381668331	-0.4496218342486601	0.9524811724154932	85.56486828190276
20	7.0	wm	diff_vonmises	0.21359338110944834	12.237999269500715	3.8596601856718737	0.5371868632219802	1.5398784215578224e-15	2.1355900336841023	0.06512385233052514	-0.3397098065154034	0.40483365884592853	69.72617198215872
